artist,song,video
 Ted Nugent , Out Of Control,Warriors - Come Out To Skate
 Dick Dale , Nitrus,Vans - No Other Way
 Afterimage , Satellite Of Love,Vans - No Other Way
 Ol' Dirty Bastard , Shimmy Shimmy Ya,SK8MAFIA Saturdays
 Apathy , Fuck You,SK8MAFIA Saturdays
 Andre Nickatina , Last Rap I'll Ever Write,SK8MAFIA Saturdays
 The Stranglers , (Get A) Grip (On Yourself),Zero - Strange World
 Shocking Blue , Never Marry A Railroad Man,Zero - Strange World
 Duke Ellington , Instrumental,Airmetica - Suprasubstancial
 Diamond and the Psychotic Neurotics , Best Kept Secret (45 King Remix),CCTV Surveillance Master Tape
 Big Pun and Cormega ," Rhyme for Rhyme
",CCTV Surveillance Master Tape
 Pink Floyd , On the Run,Warriors - Come Out To Skate
 Screamin' Stukas , Some Fun Tonigh,Warriors - Come Out To Skate
 Queens Of The Stone Age , Make It Wit Chu,Warriors - Come Out To Skate
 Fugazi , Slo Crostic,Team BK - A New Horizon
 Blonde Redhead , Futurism vs. Passeism Part 2,Team BK - A New Horizon
 Ray Barbee Meets The Mattson 2 , Interlude,Vans - No Other Way
 The Righteous Brothers , Unchained Melody,Vans - No Other Way
 Dead to Fall , All My Heroes Have Failed Me,Bacon - Southern Slaughter Tour
 GZA , Beneath The Surface,SK8MAFIA Saturdays
 Donny Hathaway , Little Ghetto Boy,SK8MAFIA Saturdays
 War , Why Can't We Be Friends?,SK8MAFIA Saturdays
 The Dark , The Masque,Zero - Strange World
 Graveyard , Satan's Finest,Zero - Strange World
 Big L ," MVP (Buckwild Remix)
",CCTV Surveillance Master Tape
 Nas ," Affirmitve Action (Vinyl Reanimator's Remix)
",CCTV Surveillance Master Tape
 Buckshot Criminal Manne Primo ," Ridin Steamer
",CCTV Surveillance Master Tape
 Beck , Chemtrails,Airmetica - Suprasubstancial
 Rick James , Ghetto Life,Airmetica - Suprasubstancial
 Hank Williams III , P.F.F.,Warriors - Come Out To Skate
 Trans Am , Armed Response,Team BK - A New Horizon
 Fugazi , I'm So Tired,Team BK - A New Horizon
 The Animal Party , No Reason,Vans - No Other Way
 Curtis Mayfield , Freddie's Dead,SK8MAFIA Saturdays
 Gravediggaz , 2 Cups Of Blood,SK8MAFIA Saturdays
 Trainwreck Riders , In And Out Of Love,Bacon - Southern Slaughter Tour
 Motorhead , Dancing On Your Grave,Bacon - Southern Slaughter Tour
 Young Jeezy , Turn My Scale On,Zero - Strange World
 James Gang , The Bomber,Zero - Strange World
 Artifacts Ft. Busta Rhymes , C'mon Wit Da Git Down (Buckwild Remix),CCTV Surveillance Master Tape
 Craig Mack and Q,tip ,CCTV Surveillance Master Tape
 Steve Miller Band , Jet Airliner,Airmetica - Suprasubstancial
 Steve Miller Band , True Fine Love,Airmetica - Suprasubstancial
 Uriah Heep , Gypsy,Warriors - Come Out To Skate
 Neil Diamond , We,Warriors - Come Out To Skate
 June 22 , Recipients,Team BK - A New Horizon
 Godhead Silo , 2 Peanuts Are Walking Down The Street,Team BK - A New Horizon
 A Minor Forrest ," Look At That Car, It's Full Of Balloons",Team BK - A New Horizon
 Propaganda ," Excellent (Instrumental)
",Red Bull - Perspective
 The Spinners , I'll Be Around,SK8MAFIA Saturdays
 Tha Federalz , Got Me Twisted,SK8MAFIA Saturdays
 Johnny Cash , Orange Blossom Special,Bacon - Southern Slaughter Tour
 Nihilist , Devastator,Bacon - Southern Slaughter Tour
 Slayer , Raining Blood,Bacon - Southern Slaughter Tour
 Tool , H,Trauma - La Vie En Carton
 The Seeds , Can't Seem To Make You Mine,Zero - Strange World
 Drunk Injuns , Not Forever Yours,Zero - Strange World
 The Smiths , Handsome Devil,Flip - Really Sorry
 Motorhead , Serial Killer,Flip - Really Sorry
 Gerry and The Pacemakers , You'll Never Walk Alone,Flip - Really Sorry
 Flaming Lips , Aquarius Sabotage,Airmetica - Suprasubstancial
 Pullman , Beacon And Kent,Team BK - A New Horizon
 T,Mos ,Red Bull - Perspective
 Five Knives ," Vive Le Roi
",Red Bull - Perspective
 Sly & The Family Stone , Time For Livin',SK8MAFIA Saturdays
 Wooley , Slippery Ground,SK8MAFIA Saturdays
 Darkest Hour , Convalescence,Bacon - Southern Slaughter Tour
 3 Inches of Blood , Crazy Nights,Bacon - Southern Slaughter Tour
 Mr. Dibbs , Invitation 2 Hell (Presage),Sabotage3
 Mr. Dibbs , Invitation 2 Hell (Presage),Sabotage3
 Jake One/MF Doom ," Trap Door
",Sabotage3
 Tool , Intermission,Trauma - La Vie En Carton
 The Monkees , I'm a Believer,Trauma - La Vie En Carton
 Queen ," Bohemian Rapsody
",AcriminalG - Rockerz
 Shout Out Louds ," Very Loud
",AcriminalG - Rockerz
 Ulver , Not Saved,Flip - Really Sorry
 Elvis Costello , Smile,Flip - Really Sorry
 Craig Fox , Last Snow,Habitat - Austyn Gillette: Unlimited
 Future Islands , Tin Man,Habitat - Austyn Gillette: Unlimited
 The Contours , Do You Love Me,Mystery - Black & White
 Aretha Franklin , Rock Steady,Mystery - Black & White
 Slayer , Epidemic,Airmetica - Suprasubstancial
 The Verve , Bitter Sweet Symphony,Airmetica - Suprasubstancial
 Dinosaur Jr. , Your Weather,Airmetica - Suprasubstancial
 Beats by June 22 , Cali Built,Team BK - A New Horizon
 Flume Future Classic ," Sleepless
",Red Bull - Perspective
 Alert 312 ," Vice Versa
",Red Bull - Perspective
 AWOLNATION ," Knights of Shame
",Red Bull - Perspective
 Boz Scaggs , Lowdown,SK8MAFIA Saturdays
 Tha Dogg Pound , What Would U Do?,SK8MAFIA Saturdays
 T.I. , What You Know?,Bacon - Southern Slaughter Tour
 MuteMath ," Reset
",Sabotage3
 Frustration , Too Many Questions,Trauma - La Vie En Carton
 Eels , Flyswatter,Trauma - La Vie En Carton
 Sam & Dave , Wrap It Up,AcriminalG - Rockerz
 Built to Spill ," Happiness
",AcriminalG - Rockerz
 The Cribs ," Girls Like Mystery
",AcriminalG - Rockerz
 Johnny Thunders , Pirate Love,Flip - Really Sorry
 Notorious B.I.G , Notorious Thugs (feat. Bone Thugs,Flip - Really Sorry
 Vetiver , Strictly Rule,Habitat - Austyn Gillette: Unlimited
 Johnny Nash , I Can See Clearly Now,Mystery - Black & White
 Death in Vegas , So you Say you Lost your baby,Airmetica - Suprasubstancial
 Beck , Walls,Airmetica - Suprasubstancial
 The Blue Balls , Waste Of Time,Team BK - A New Horizon
 Fugazi , F,Team BK - A New Horizon
 Alert 312 , Kill The Elephants (Instrumental),Red Bull - Perspective
 Bob Marley , Mr. Brown,SK8MAFIA Saturdays
 The Ganja Kru ," Super Sharp Shooter
",Sabotage3
 Blondie ," Call Me
",Sabotage3
 Joy Division , Warsaw,Trauma - La Vie En Carton
 CIV , Can't Wait One Minute More,Trauma - La Vie En Carton
 The Smiths , This Charming Man,AcriminalG - Rockerz
 Max Gazzè ," Una Musica Può Fare
",AcriminalG - Rockerz
 The Verve , Bittersweet Symphony (instrumental),Flip - Really Sorry
 Beck , Volcano,Airmetica - Suprasubstancial
 Dinosaur Jr. , Yeah We Know,Airmetica - Suprasubstancial
 Songs Ohia , no name,Airmetica - Suprasubstancial
 Chambers Brothers , Are You Ready Now,Mystery - Black & White
 The Zombies , She's Not There,Mystery - Black & White
 Fugazi , Pink And Frosty Demo,Team BK - A New Horizon
 Ann Peebles , I'm Gonna Tear Your Playhouse Down,SK8MAFIA Saturdays
 Encore , Defined By The Dollar,SK8MAFIA Saturdays
 King Crimson , 21st Century Schizoid Man,Foundation - That's Life
 Moving Units , Between Us & Them,Foundation - That's Life
 Minor Threat ," I Don't Wanna Hear That
",Blind - This Is Not A Test
 Das EFX ," Real Hip Hop
",Blind - This Is Not A Test
  Led Zeppelin , Friends,KR3W - Down Under
  Ghostface Killah , We Made It,KR3W - Down Under
 DJ Krush ," Ryu Tou
",Sabotage3
 Project Pat ," Kelly Green
",Sabotage3
 The Adolescents , Kids Of The Black Hole,Trauma - La Vie En Carton
 Tool , Die Eier Von Satan,Trauma - La Vie En Carton
 Michael Kamen , Central Services/The Office,303 - It's Always Sunny In Colorado
 Lesley Gore ," Just Let Me Cry
",303 - It's Always Sunny In Colorado
 The Clash ," Rock the Casbah
",AcriminalG - Rockerz
 The Brian Jonestown Massacre , Cabin Fever,AcriminalG - Rockerz
 The Telescopes ," High On Fire
",Wiener Melange
 Morcheeba ," Wonders Never Cease
",Wiener Melange
 Gucci Mane , Is You Rollin?,Still Rollin'
 The Isley Brothers , Lay Away,Still Rollin'
 Johnny & The Dudes , In The Shit,Thrasher - Life of Pain
 Johnny & The Dudes , Bar,Thrasher - Life of Pain
 Black Eyed Peas , Request + Line,Flip - Really Sorry
 Black Eyed Peas , Empire Strikes Back (feat. Esthero),Flip - Really Sorry
 The Yardbirds , Heart Full of Soul,Mystery - Black & White
 Ol' Dirty Bastard , Shimmy Shimmy Ya,Mystery - Black & White
 Cheapshot , Instrumental Beats,Team BK - A New Horizon
 Ben Harper , People Lead,Team BK - A New Horizon
 Pailhead , Man Should Surrender,Team BK - A New Horizon
 Curtis Mayfield , Beautiful Brother Of Mine,SK8MAFIA Saturdays
 Sizzla , Vibes (feat. Capleton),SK8MAFIA Saturdays
 Gang of Four , Damaged Goods,Foundation - That's Life
 DJ Shadow , Product Placement 2,Foundation - That's Life
 Hot machines , Can't Feel,Foundation - That's Life
 Broken Gold , Ambulance Faces,Blind - This Is Not A Test
 Maker , Southside Phantom,Blind - This Is Not A Test
  Led Zeppelin , Bron,KR3W - Down Under
  Janis Joplin , To Love Somebody,KR3W - Down Under
 DJ Krush ," Transition
",Sabotage3
 DJ Krush , Yeah,Sabotage3
 Daddy Kev , First Things Last,Sabotage3
 Sonic Youth , Unmade Bed,Trauma - La Vie En Carton
 Toots and The Maytals , 54,Trauma - La Vie En Carton
 T. Rex , Hot Love,303 - It's Always Sunny In Colorado
 Connie Stevens ," Sixteen Reasons
",303 - It's Always Sunny In Colorado
 Bob James ," Soulero
",Wiener Melange
 Wanda Jackson ," Funnel Of Love
",Wiener Melange
 Sly & The Family Stone ," Sex Machine
",Wiener Melange
 Grateful Dead ," Scarlet begonias
",Wiener Melange
 Black Sabbath , Symptom Of The Universe,Still Rollin'
 Zager & Evans , In The Year 2525,Still Rollin'
 Grindline The Band , No Bars Left,Thrasher - Life of Pain
 Kilgore , PBR Street,Thrasher - Life of Pain
 Hole , Violet,Flip - Really Sorry
 Hole , Doll Parts,Flip - Really Sorry
 Dion & The Belmonts , Runaround Sue,Mystery - Black & White
 Hermon Hitson , You Are Too Much For The Human Heart,Mystery - Black & White
 Fugazi , Swingset,Team BK - A New Horizon
 Minor Threat , Betray,Team BK - A New Horizon
 Method Man , Say (feat. Lauryn Hill),SK8MAFIA Saturdays
 Geto Boys , Mind Playing Tricks On Me,SK8MAFIA Saturdays
 Dr. Dre , Let Me Ride,SK8MAFIA Saturdays
 The Flaming Lips , Race for the Prize,Foundation - That's Life
 Mudhoney , Good Enough,Foundation - That's Life
 Rush ," The Spirit of Radio
",Blind - This Is Not A Test
 Metallica ," Dyers Eve
",Blind - This Is Not A Test
 50 Cent ," I Get Money
",Sabotage3
 Damian Marley ," Welcome To Jamrock
",Sabotage3
 Violent Femmes , Blister In The Sun,Trauma - La Vie En Carton
 Mike Ness , Angel's Wings,Trauma - La Vie En Carton
 Rock Plaza Central , Anthem For The Already Defeated,DVS - Summer Bailout Package
 Jon Brion , Showtime,303 - It's Always Sunny In Colorado
 DeVotchka , La Llorana,303 - It's Always Sunny In Colorado
 Irma Thomas ," It's Raining
",303 - It's Always Sunny In Colorado
 The Telescopes ," Everso
",Wiener Melange
 Jethro Tull ," Locomotive Breath
",Wiener Melange
 John Farnham ," You're The Voice
",Wiener Melange
 The Pharcyde , Passing Me By,Still Rollin'
 Iron Maiden , Hallowed Be Thy Name,Still Rollin'
 Bad Shit , Onward To Battle,Thrasher - Life of Pain
 Shed , SDFFU,Thrasher - Life of Pain
 Johnny Cash , One,Flip - Really Sorry
 The Stooges , I Wanna Be Your Dog,Flip - Really Sorry
 Smokey Robinson & The Miracles , The Tracks Of My Tears,Mystery - Black & White
 Moby , In This World,Mystery - Black & White
 Tortoise , Whitewater,Team BK - A New Horizon
 Tortoise , DJED Bruise Blood Mix,Team BK - A New Horizon
 Dr. Dre , Lil' Ghetto Boy (feat. Snoop Dogg),SK8MAFIA Saturdays
 Del Tha Funky Homosapien , Last Hurrah,SK8MAFIA Saturdays
 The Brian Jonestown Massacre ," Geezers
",Bummer
 Joe Esposito ," You're The Best
",Bummer
 Ima Robot , Alive,Foundation - That's Life
 The Move , Do ya,Foundation - That's Life
 Sly & The Faily Stone ," Underdog
",Vodka 2 Fakie
 Craig Mack ," Flava In Ya Ear
",Blind - This Is Not A Test
 Broken Gold ," ""Cranes"" Instrumental",Blind - This Is Not A Test
  Tommy '86 , Aurora,Bronze 56k  Trust
  Yo Gotti , I Got Da Sack,Bronze 56k  Trust
  Saint Pepsi , Nova,Bronze 56k  Trust
 Big L , Ebonics,Sabotage3
 DJ Krush , What's Behind Darkness,Sabotage3
 Jeru The Damaja , Jungle Music,Sabotage3
  Southpaw Chop , Overground Tribal (intro),FESN - Overground Broadcasting
  Steve Proctor , Del Mar Mix,Waiting For Lightning
  Jason Jackson , Step Right Up,Waiting For Lightning
 White Williams , Violator,DVS - Summer Bailout Package
 Fleet Foxes , White Winter Hymnal,DVS - Summer Bailout Package
 Bob Dylan , Wigwam,303 - It's Always Sunny In Colorado
 10cc , The Things We Do For Love,303 - It's Always Sunny In Colorado
 Kim Carnes ," Bette Davis Eyes
",Wiener Melange
 Grateful Dead ," Sugar Magnolia
",Wiener Melange
 Eels , Old Shit / New Shit,Wiener Melange
 Bad Shit , All Hail Cardiel,Thrasher - Life of Pain
 Grindline The Band , Broken Bottles,Thrasher - Life of Pain
 Ben Harper , Power Of Gospel,Team BK - A New Horizon
 The Rolling Stones , Monkey Man,SK8MAFIA Saturdays
 Jeremy Jay ," Angles On The Balcony
",Bummer
 DMX , What's My Name,Bummer
 Ghostface Killah feat. Wu,Tang Clan ,Bummer
 Interpol , PDA,Foundation - That's Life
 Chambers Brothers , People Get Ready,Foundation - That's Life
 Womack and Womack ," Teardrops
",Vodka 2 Fakie
 Xzibit ," What U See is What U Get
",Vodka 2 Fakie
 Led Zeppelin , In The Evening,Blind - This Is Not A Test
  Tangerine Dream , Love On A Real Train,Bronze 56k  Trust
 Smoothe Da Hustler , Broken Language,Sabotage3
 DJ Krush , The Kinetics,Sabotage3
  DJ Quietstorm , Hikari (Bone mix),FESN - Overground Broadcasting
  Yousuke Nakano , Bass Trip,FESN - Overground Broadcasting
  JNY The Weel , Supply,FESN - Overground Broadcasting
  Robert Mardirosian & Aron Mardirosian , Black Out,Waiting For Lightning
  Michael A. Palm , No Such Thing,Waiting For Lightning
 Detektivbyran , E18,DVS - Summer Bailout Package
 The Kinks , Wonderboy,303 - It's Always Sunny In Colorado
 Johnny & The Dudes , San Pablo Blow Job,Thrasher - Life of Pain
 Johnny & The Dudes , In The Shit,Thrasher - Life of Pain
 Cream , Strange Brew,SK8MAFIA Saturdays
 Wu,Tang Clan ,SK8MAFIA Saturdays
 Black Lips ," Fairy Stories
",Bummer
 Top Drawer ," What Happened Before They Took The People Away
",Bummer
 The Scientists , Last Night,Foundation - That's Life
 Siouxsie and the Banshees , Arabian Knights,Foundation - That's Life
 Queens Of The Stone Age , Mosquito Song,Foundation - That's Life
 Wu,Tang Clan ,Vodka 2 Fakie
 T Pau ," China in Your Hand
",Vodka 2 Fakie
 Camp Lo , Krystal Karrington,Sabotage3
  ESPRIT &#31354;&#24819; , IWILLBE.WAV,Bronze 56k  Trust
  Mobb Deep , Lifestyles Of The Infamous,Bronze 56k  Trust
  Ponchi , Subconcious,FESN - Overground Broadcasting
  Mark Lockett , Blues For Ronnie,FESN - Overground Broadcasting
  Yoonkee , Untitle (UKR dub),FESN - Overground Broadcasting
  Hanni El Khatib , Build Destroy Rebuild,Waiting For Lightning
 Bad Shit , Miami Crime Scene,Thrasher - Life of Pain
 Pissboner , Giddyup Pony,Thrasher - Life of Pain
 Grindline The Band , Raining On The Freeway,Thrasher - Life of Pain
 Grindline The Band , I'm Losing My Mind,Thrasher - Life of Pain
 Jimmy Cliff , You Can Get It If You Really Want,SK8MAFIA Saturdays
" Young Buck, TI, The Game, & Ludacris ", Stomp,SK8MAFIA Saturdays
 Gucci Mane , Lemonade,Bummer
 Devo ," Beautiful World
",Bummer
 Hot Lava , Resolutions '08,Bummer
 Atomic Rooster ," Broken Wings
",Slam City Skates - City Of Rats
 The Move , Flowers In The Rain,Foundation - That's Life
 Joy Division , Shadowplay,Totally Nector 
 The Brian Jonestown Massacre ," Malela
",Vodka 2 Fakie
 The Notorius B.I.G , Spit Your Game,Vodka 2 Fakie
 Strychnine , The Sonics,Bacon - Unheard
 Tortoise , Salt the Skies,adidas - Japan Tour
 BLKTOP PRJKT , Pablo's Fever,adidas - Japan Tour
  Mikael Varis , Helvettiin,Kuosi - Korjaussarja
  Cosmobile , The Finger,Kuosi - Korjaussarja
 Band Of Skulls ," In The Light Of The Morning
",Kbye.
 Lamb ," Sun
",Kbye.
 RJD2 ," Ring Finger
",Sabotage3
 Jay Z , On To The Next One,Sabotage3
  ?(Some chopped and screwed version of Pay Me , Usher),Bronze 56k  Trust
  Tortoise , TNT,Bronze 56k  Trust
  Taichi , Sheff,FESN - Overground Broadcasting
  The , Kure Metal,FESN - Overground Broadcasting
  Lord Puff , Kanabis & Empiric,FESN - Overground Broadcasting
 Lee 'Scratch' Perry , Jungle Lion,Nike SB - Nothing But The Truth
 Holly , Walk A Mile,Nike SB - Nothing But The Truth
  Steve Proctor , Tibb's Perspective,Waiting For Lightning
  Michael Steinman & Chris Valle , A Lot Less,Waiting For Lightning
 Notorious B.I.G. , 1970 Somethin' (DJ Peril remix),SK8MAFIA Saturdays
 David Bowie , Drive,Bummer
 Jim Noir ," Eanie Meany 2 (instrumental)
",Bummer
 Broken Social Scene ," Cause=Time
",Bummer
 The Blossom Toes ," Wait A Minute
",Slam City Skates - City Of Rats
 Eric Burdon & The Animals ," Winds Of Change
",Slam City Skates - City Of Rats
 Lynyrd Skynyrd , Needle and Spoon,Totally Nector 
 Pink Floyd , One of These Days,Totally Nector 
 Tortiose , ?,adidas - Japan Tour
 Tortiose , Salt The skies,adidas - Japan Tour
 I'm A Man , Spencer Davis Group,Bacon - Unheard
 Jimi Hendrix , Killing Floor,Bacon - Unheard
 Hate Eternal , Faceless One,Bacon - Unheard
  Stepa feat. Laineen Kasperi , Ei,Kuosi - Korjaussarja
  Bigblind Willie , Paper Thin,Kuosi - Korjaussarja
  Moses Hazy , Flow of Life,Kuosi - Korjaussarja
 Cunnin' Lynguists , Imperial Rock,Kbye.
 Coconut Records ," The Summer
",Kbye.
  Dream Sequins , Nmesh,Bronze 56k  Trust
  Haflife , Prelude,Bronze 56k  Trust
  Meaning Of Nonsence , Look Out,FESN - Overground Broadcasting
  Yuichiro Kato , Ascent For Far East,FESN - Overground Broadcasting
 The Pretty Things ," She Was Tall, She Was High",Nike SB - Nothing But The Truth
 The Smiths , A Rush And A Push And The Land Is Ours,Nike SB - Nothing But The Truth
  Bear Hands , Blood and Treasure,Waiting For Lightning
  The Chain Gang of 1974 , Make My Body,Waiting For Lightning
 Too Short , Gettin' It,SK8MAFIA Saturdays
 Petula Clark , Downtown,SK8MAFIA Saturdays
 Pete Rock , The Boss,SK8MAFIA Saturdays
 T Rex ," Buick Mackane
",Bummer
 Cheech & Chong ," Basketball Jones
",Bummer
 Deerhunter , These Hands,Bummer
 David Bowie ," In The Heat Of The Morning
",Slam City Skates - City Of Rats
 London Funk Allstars , (London) Represent,Slam City Skates - City Of Rats
 Pink Floyd , Childhood's End,Totally Nector 
 Neil Young , After The Garden,Totally Nector 
 Les Savy Fav , Patty Lee (instrumental),adidas - Japan Tour
 New York Dolls , Dance Like A Monkey,Bacon - Unheard
